XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,pIC50
5.6,121.0,559.0,1.0,6.0,6.0,30.0,0.0,0.0,0.0,0.0,341.3,9.21,5.63,1.97,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-0.477121255
4.9,126.0,670.0,1.0,9.0,6.0,33.0,0.0,0.0,0.0,0.0,360.6,12.71,5.23,1.68,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.2,8.0,10.0,-1.0
6.3,175.0,627.0,1.0,8.0,7.0,32.0,0.0,0.0,0.0,0.0,376.7,9.56,5.75,2.12,10.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,8.0,10.0,-1.041392685
4.4,162.0,554.0,1.0,8.0,6.0,29.0,0.0,0.0,0.0,0.0,332.3,10.12,5.41,1.57,10.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-1.146128036
4.4,106.0,529.0,1.0,6.0,6.0,29.0,0.0,0.0,0.0,0.0,316.6,10.38,5.83,1.05,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-1.176091259
5.9,106.0,687.0,1.0,9.0,6.0,34.0,0.0,0.0,0.0,0.0,368.4,11.83,6.0,1.32,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,8.0,10.0,-1.176091259
5.0,106.0,567.0,1.0,6.0,6.0,30.0,0.0,0.0,0.0,0.0,332.2,10.23,5.86,1.35,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-1.176091259
4.7,80.2,354.0,1.0,4.0,6.0,22.0,0.0,0.0,0.0,0.0,260.7,8.02,3.97,2.5,7.0,2.0,1.0,0.0,1.0,2.0,1.0,0.8,7.0,10.0,-1.477121255
1.2,197.0,955.0,3.0,9.0,7.0,32.0,0.0,0.0,0.0,0.0,342.8,9.33,5.55,2.17,12.0,6.0,3.0,0.0,0.0,3.0,0.0,1.2,8.0,10.0,-1.602059991
4.5,108.0,427.0,1.0,5.0,6.0,25.0,0.0,0.0,0.0,0.0,286.6,10.99,4.44,1.1,8.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,7.0,10.0,-1.602059991
2.7,114.0,631.0,2.0,6.0,7.0,28.0,0.0,0.0,0.0,0.0,303.2,8.11,5.08,2.54,9.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,8.0,10.0,-1.653212514
2.3,146.0,836.0,2.0,7.0,7.0,31.0,0.0,0.0,0.0,0.0,332.2,8.72,5.61,2.2,10.0,5.0,2.0,0.0,0.0,3.0,0.0,1.0,8.0,10.0,-1.77815125
3.3,146.0,890.0,2.0,7.0,8.0,33.0,1.0,1.0,0.0,0.0,359.0,8.06,7.24,2.3,11.0,5.0,2.0,0.0,0.0,3.0,1.0,1.2,9.0,10.0,-1.77815125
3.7,105.0,619.0,2.0,5.0,6.0,27.0,0.0,0.0,0.0,0.0,297.6,7.46,5.43,1.62,8.0,3.0,2.0,0.0,0.0,3.0,0.0,1.4,7.0,10.0,-2.0
3.7,105.0,609.0,2.0,5.0,6.0,27.0,0.0,0.0,0.0,0.0,298.2,14.71,3.63,2.03,8.0,3.0,2.0,0.0,0.0,3.0,0.0,1.2,7.0,10.0,-2.301029996
5.9,131.0,638.0,1.0,7.0,9.0,34.0,0.0,0.0,0.0,0.0,385.3,13.71,6.19,1.88,11.0,4.0,1.0,0.0,1.0,4.0,1.0,1.4,10.0,10.0,-2.301029996
1.7,114.0,613.0,2.0,9.0,7.0,27.0,0.0,0.0,0.0,0.0,289.1,12.12,3.58,1.43,8.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,9.0,10.0,-2.301029996
5.5,120.0,776.0,2.0,5.0,8.0,31.0,0.0,0.0,0.0,0.0,348.4,9.88,4.88,2.75,9.0,3.0,2.0,0.0,0.0,3.0,1.0,1.2,10.2,10.0,-2.301029996
3.6,120.0,794.0,2.0,8.0,5.0,30.0,0.0,0.0,0.0,0.0,315.9,10.21,5.26,1.14,8.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,7.0,10.0,-2.301029996
2.2,178.0,509.0,2.0,9.0,7.0,26.0,0.0,0.0,0.0,0.0,277.4,9.33,6.02,1.63,11.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,9.0,10.0,-2.397940009
2.8,97.7,486.0,0.0,6.0,5.0,25.0,1.0,1.0,0.0,0.0,275.0,20.66,1.55,1.42,8.0,4.0,0.0,0.0,1.0,3.0,0.0,0.8,5.6,10.0,-2.477121255
3.7,120.0,728.0,2.0,5.0,5.0,28.0,1.0,1.0,0.0,0.0,308.6,6.68,6.08,2.27,9.0,3.0,2.0,0.0,0.0,3.0,1.0,0.8,6.0,10.0,-2.477121255
4.9,120.0,773.0,2.0,5.0,6.0,30.0,0.0,0.0,0.0,0.0,336.2,11.61,4.29,2.96,9.0,3.0,2.0,0.0,0.0,3.0,1.0,1.2,8.2,10.0,-2.544068044
4.7,89.4,474.0,1.0,5.0,7.0,28.0,0.0,0.0,0.0,0.0,312.6,10.23,5.64,1.2,9.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,8.0,10.0,-2.602059991
4.0,80.2,443.0,1.0,8.0,4.0,24.0,0.0,0.0,0.0,0.0,259.8,8.26,3.45,2.32,6.0,2.0,1.0,0.0,1.0,2.0,0.0,0.8,6.0,10.0,-2.698970004
2.9,67.5,530.0,1.0,4.0,1.0,23.0,1.0,1.0,0.0,0.0,237.9,10.44,2.6,0.8,9.0,4.0,1.0,0.0,0.0,4.0,0.0,0.6,1.8,5.0,-1.394451681
3.2,73.6,613.0,0.0,5.0,2.0,25.0,1.0,1.0,0.0,0.0,256.4,11.58,2.79,0.91,8.0,4.0,0.0,0.0,0.0,4.0,0.0,0.6,2.8,8.0,-1.324282455
3.8,43.4,571.0,0.0,3.0,0.0,22.0,1.0,1.0,0.0,0.0,232.9,9.46,2.64,0.86,8.0,3.0,0.0,0.0,0.0,4.0,1.0,0.6,1.4,1.0,-2.35545152
3.7,47.3,471.0,0.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,216.7,9.25,2.69,0.6,7.0,3.0,0.0,0.0,0.0,4.0,0.0,0.6,0.0,1.0,-1.587710965
3.2,43.4,533.0,0.0,3.0,0.0,21.0,1.0,1.0,0.0,0.0,218.5,8.99,2.69,0.7,7.0,3.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.0,-1.158362492
4.9,34.1,498.0,0.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,230.3,9.88,2.42,0.94,7.0,2.0,0.0,0.0,0.0,3.0,2.0,0.6,1.8,4.0,-1.324282455
4.9,134.0,697.0,0.0,9.0,2.0,28.0,0.0,0.0,0.0,0.0,294.4,9.46,3.03,1.97,10.0,6.0,0.0,2.0,0.0,2.0,0.0,0.8,5.0,4.0,0.522878745
7.3,95.1,777.0,0.0,6.0,8.0,31.0,0.0,0.0,0.0,0.0,362.0,20.02,7.05,1.28,6.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,10.0,0.045757491
1.5,120.0,378.0,2.0,6.0,2.0,18.0,0.0,0.0,0.0,0.0,195.7,8.18,1.93,1.55,7.0,2.0,2.0,0.0,1.0,2.0,0.0,0.6,2.0,2.0,-0.77815125
4.7,88.3,535.0,0.0,7.0,2.0,23.0,0.0,0.0,0.0,0.0,244.5,9.89,2.84,1.63,7.0,4.0,0.0,1.0,0.0,2.0,0.0,0.6,4.0,3.0,-1.079181246
2.3,125.0,565.0,0.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,232.6,8.37,3.47,0.99,9.0,6.0,0.0,1.0,0.0,2.0,0.0,0.6,3.0,4.0,-1.113943352
2.7,125.0,592.0,0.0,6.0,2.0,23.0,0.0,0.0,0.0,0.0,245.5,9.56,3.52,0.97,9.0,6.0,0.0,1.0,0.0,2.0,0.0,0.6,3.0,4.0,-1.113943352
1.4,114.0,452.0,0.0,5.0,2.0,20.0,0.0,0.0,0.0,0.0,214.9,9.86,2.15,1.54,8.0,4.0,0.0,2.0,0.0,2.0,0.0,0.6,3.0,2.0,-1.176091259
3.3,100.0,469.0,2.0,5.0,3.0,21.0,0.0,0.0,0.0,0.0,246.8,10.72,2.44,2.06,10.0,4.0,1.0,1.0,0.0,2.0,2.0,0.6,3.0,1.0,-1.204119983
1.6,96.9,505.0,1.0,5.0,4.0,21.0,0.0,0.0,0.0,0.0,223.6,5.3,3.11,1.54,8.0,5.0,0.0,1.0,0.0,2.0,0.0,0.6,4.0,10.0,-1.204119983
2.5,134.0,447.0,0.0,6.0,2.0,21.0,0.0,0.0,0.0,0.0,217.9,11.23,2.3,1.5,10.0,6.0,0.0,2.0,0.0,2.0,0.0,0.6,4.0,1.0,-1.397940009
4.6,97.1,554.0,1.0,8.0,5.0,25.0,0.0,0.0,0.0,0.0,260.5,22.7,2.99,1.15,7.0,1.0,1.0,0.0,2.0,3.0,0.0,0.8,4.0,10.0,-0.477121255
3.3,147.0,592.0,1.0,10.0,3.0,27.0,0.0,0.0,0.0,0.0,273.3,18.53,3.07,1.16,10.0,5.0,1.0,1.0,0.0,3.0,0.0,0.8,6.0,10.0,-0.698970004
3.9,125.0,544.0,2.0,6.0,5.0,24.0,0.0,0.0,0.0,0.0,270.6,20.77,2.43,1.06,10.0,4.0,2.0,0.0,0.0,3.0,1.0,0.8,5.0,10.0,-1.0
4.2,154.0,578.0,2.0,6.0,5.0,25.0,0.0,0.0,0.0,0.0,285.1,9.94,5.26,1.55,10.0,4.0,2.0,0.0,0.0,3.0,1.0,0.8,6.0,10.0,-1.176091259
4.1,94.3,470.0,1.0,5.0,3.0,21.0,0.0,0.0,0.0,0.0,233.1,11.18,3.35,0.91,9.0,3.0,1.0,0.0,1.0,3.0,1.0,0.6,3.6,10.0,-1.204119983
2.7,159.0,537.0,0.0,7.0,3.0,24.0,0.0,0.0,0.0,0.0,263.4,6.05,4.32,1.99,10.0,5.0,0.0,1.0,0.0,3.0,1.0,0.8,4.0,8.0,-1.255272505
4.1,140.0,441.0,0.0,6.0,4.0,20.0,0.0,0.0,0.0,0.0,242.9,16.25,2.41,0.88,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.6,4.0,10.0,-1.255272505
3.9,132.0,409.0,1.0,6.0,4.0,22.0,0.0,0.0,0.0,0.0,245.1,17.42,2.01,1.17,9.0,3.0,1.0,1.0,1.0,3.0,0.0,0.8,5.0,10.0,-1.301029996
1.2,95.9,242.0,0.0,5.0,3.0,13.0,0.0,0.0,0.0,0.0,155.1,8.77,1.21,0.97,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.6,3.6,10.0,-1.602059991
4.6,52.3,388.0,0.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,240.4,19.69,1.76,1.12,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.6,4.0,10.0,1.200659451
3.8,98.2,464.0,0.0,6.0,4.0,24.0,0.0,0.0,0.0,0.0,249.3,21.52,1.86,1.08,9.0,5.0,0.0,1.0,0.0,3.0,0.0,0.8,5.0,10.0,1.22184875
3.8,98.2,472.0,0.0,6.0,4.0,24.0,0.0,0.0,0.0,0.0,248.5,13.76,2.51,1.61,9.0,5.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0,10.0,0.681936665
3.8,98.2,472.0,0.0,6.0,4.0,24.0,0.0,0.0,0.0,0.0,248.9,18.56,2.61,1.09,9.0,5.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0,10.0,0.301029996
1.8,52.1,244.0,0.0,4.0,3.0,16.0,0.0,0.0,0.0,0.0,171.8,10.32,1.46,1.02,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.6,3.0,10.0,0.785156152
1.8,52.1,250.0,0.0,4.0,3.0,16.0,0.0,0.0,0.0,0.0,171.9,10.41,1.33,1.15,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.6,3.0,10.0,0.156767222
2.8,85.0,347.0,0.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,199.4,9.78,2.36,0.96,7.0,4.0,0.0,1.0,0.0,2.0,0.0,0.6,4.0,10.0,0.477555766
2.7,85.0,347.0,0.0,5.0,3.0,19.0,0.0,0.0,0.0,0.0,199.5,13.0,1.67,1.06,7.0,4.0,0.0,1.0,0.0,2.0,0.0,0.6,4.0,10.0,0.164943898
4.1,39.2,349.0,0.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,214.2,11.28,2.68,0.85,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.6,3.0,10.0,0.906578315
3.1,65.5,465.0,0.0,5.0,3.0,21.0,0.0,0.0,0.0,0.0,218.0,14.58,1.62,1.02,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.6,3.0,10.0,0.966576245
1.8,95.2,717.0,1.0,6.0,4.0,28.0,0.0,0.0,0.0,0.0,303.6,14.21,4.61,1.82,10.0,4.0,1.0,0.0,1.0,4.0,0.0,0.8,5.4,10.0,-1.501196242
1.1,123.0,810.0,1.0,9.0,7.0,33.0,0.0,0.0,0.0,0.0,351.5,15.91,5.25,1.9,13.0,7.0,1.0,0.0,1.0,4.0,0.0,1.2,8.4,10.0,-1.50623436
1.6,95.2,691.0,1.0,6.0,5.0,28.0,0.0,0.0,0.0,0.0,300.7,19.41,3.82,1.61,10.0,4.0,1.0,0.0,1.0,4.0,0.0,0.8,6.4,10.0,-1.542949849
0.2,125.0,740.0,1.0,7.0,3.0,27.0,0.0,0.0,0.0,0.0,279.6,10.92,4.63,1.72,11.0,6.0,1.0,0.0,0.0,4.0,0.0,0.8,5.4,10.0,-1.003029471
0.7,108.0,669.0,1.0,7.0,3.0,26.0,0.0,0.0,0.0,0.0,272.4,13.4,3.58,1.7,11.0,5.0,1.0,0.0,1.0,4.0,0.0,0.8,4.4,10.0,-1.710371264
-0.6,101.0,521.0,1.0,6.0,2.0,20.0,0.0,0.0,0.0,0.0,210.0,8.03,2.17,1.72,9.0,5.0,1.0,0.0,0.0,3.0,0.0,0.6,3.4,10.0,-1.102433706
1.1,91.9,546.0,1.0,5.0,2.0,21.0,0.0,0.0,0.0,0.0,226.6,9.12,2.56,1.67,8.0,4.0,1.0,0.0,0.0,3.0,0.0,0.6,3.4,10.0,-0.071882007
1.1,91.9,554.0,1.0,5.0,2.0,21.0,1.0,1.0,0.0,0.0,226.3,10.25,1.91,1.56,8.0,4.0,1.0,0.0,0.0,3.0,0.0,0.6,3.4,10.0,-0.352182518
1.5,91.9,573.0,1.0,5.0,2.0,22.0,2.0,2.0,0.0,0.0,239.4,9.3,2.65,1.63,8.0,4.0,1.0,0.0,0.0,3.0,0.0,0.6,3.4,10.0,-0.633468456
-0.5,86.4,577.0,0.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,237.2,9.38,2.48,1.93,8.0,4.0,0.0,0.0,1.0,3.0,0.0,0.6,3.4,10.0,-1.072984745
1.4,86.4,706.0,0.0,6.0,4.0,28.0,0.0,0.0,0.0,0.0,300.7,11.23,4.34,2.01,9.0,4.0,0.0,0.0,1.0,4.0,0.0,0.8,5.4,10.0,-1.827369273
-0.6,92.4,549.0,0.0,6.0,2.0,21.0,0.0,0.0,0.0,0.0,222.8,8.68,2.11,1.89,8.0,5.0,0.0,0.0,0.0,3.0,0.0,0.6,3.4,10.0,-0.996073654
1.2,92.4,677.0,0.0,6.0,4.0,27.0,0.0,0.0,0.0,0.0,285.9,10.98,3.84,1.88,9.0,5.0,0.0,0.0,0.0,4.0,0.0,0.8,5.4,10.0,-1.14176323
2.8,83.1,702.0,0.0,5.0,4.0,28.0,0.0,0.0,0.0,0.0,302.9,11.4,4.4,2.01,8.0,4.0,0.0,0.0,0.0,4.0,0.0,0.8,5.4,10.0,-0.017033339
1.0,83.1,575.0,0.0,5.0,2.0,22.0,0.0,0.0,0.0,0.0,239.9,9.68,2.48,1.9,7.0,4.0,0.0,0.0,0.0,3.0,0.0,0.6,3.4,10.0,-1.2509077
3.3,83.1,730.0,0.0,5.0,4.0,29.0,2.0,2.0,0.0,0.0,316.6,11.98,4.05,2.27,8.0,4.0,0.0,0.0,0.0,4.0,0.0,0.8,5.4,10.0,-0.450249108
2.6,86.4,833.0,0.0,6.0,4.0,32.0,0.0,0.0,0.0,0.0,340.0,12.52,5.78,2.04,10.0,4.0,0.0,0.0,1.0,5.0,0.0,0.8,5.4,10.0,-1.918606915
3.6,99.3,960.0,0.0,7.0,5.0,37.0,0.0,0.0,0.0,0.0,388.4,13.44,8.28,2.42,12.0,5.0,0.0,0.0,1.0,6.0,0.0,1.2,6.4,10.0,-0.741939078
2.4,92.4,803.0,0.0,6.0,4.0,31.0,0.0,0.0,0.0,0.0,325.6,12.53,5.21,1.89,10.0,5.0,0.0,0.0,0.0,5.0,0.0,0.8,5.4,10.0,-1.600646236
4.1,83.1,829.0,0.0,5.0,4.0,32.0,0.0,0.0,0.0,0.0,342.7,12.56,5.93,2.04,9.0,4.0,0.0,0.0,0.0,5.0,0.0,0.8,5.4,10.0,-0.227886705
1.4,87.2,512.0,0.0,5.0,2.0,21.0,0.0,0.0,0.0,0.0,215.4,8.09,3.27,1.01,7.0,4.0,0.0,0.0,0.0,3.0,0.0,0.6,2.2,10.0,-0.857332496
3.8,37.4,449.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,240.0,8.68,3.27,1.51,6.0,2.0,0.0,0.0,0.0,3.0,1.0,0.6,2.2,10.0,-0.973127854
3.4,65.6,452.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,226.0,9.97,2.57,1.47,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,2.2,10.0,-1.117602692
3.3,111.0,563.0,0.0,5.0,2.0,24.0,0.0,0.0,0.0,0.0,249.5,9.22,2.66,1.84,9.0,4.0,0.0,1.0,0.0,4.0,0.0,0.6,3.2,9.0,-0.301029996
4.1,65.6,485.0,0.0,3.0,2.0,22.0,0.0,0.0,0.0,0.0,247.1,9.72,2.51,1.82,7.0,2.0,0.0,0.0,0.0,4.0,1.0,0.6,2.2,10.0,0.008773924
3.5,65.6,485.0,0.0,4.0,2.0,22.0,0.0,0.0,0.0,0.0,234.2,10.33,2.8,1.48,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,2.2,10.0,-0.683047038
4.1,65.6,485.0,0.0,3.0,2.0,22.0,0.0,0.0,0.0,0.0,252.2,11.38,3.28,1.33,7.0,2.0,0.0,0.0,0.0,4.0,1.0,0.6,2.2,10.0,0.022276395
4.1,65.6,485.0,0.0,3.0,2.0,22.0,0.0,0.0,0.0,0.0,241.3,10.87,2.49,1.62,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,2.2,10.0,-1.049218023
4.7,65.6,552.0,0.0,3.0,3.0,24.0,0.0,0.0,1.0,1.0,276.4,15.95,3.55,1.59,7.0,2.0,0.0,0.0,0.0,4.0,1.0,0.6,3.2,10.0,-1.371067862
4.6,94.7,643.0,1.0,4.0,4.0,28.0,0.0,0.0,0.0,0.0,321.2,20.87,4.34,1.21,9.0,3.0,1.0,0.0,0.0,4.0,1.0,0.8,5.2,10.0,-1.099335278
3.4,85.9,595.0,0.0,4.0,3.0,26.0,0.0,0.0,0.0,0.0,298.4,12.09,5.0,1.16,8.0,3.0,0.0,0.0,0.0,4.0,1.0,0.8,5.4,10.0,-1.243038049
